Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
HECLA,LINN CO.,MO,05/06/2023,19:22,CST-6,Tornado,EF2,0,0,0.00K,0.00K
BARTLETT,WHEELER CO.,NE,05/12/2023,14:55,CST-6,Tornado,EF2,0,0,0.00K,0.00K
CHAMBERS,HOLT CO.,NE,05/12/2023,15:00,CST-6,Tornado,EF2,0,0,0.00K,0.00K
AMES,DODGE CO.,NE,05/12/2023,16:15,CST-6,Tornado,EF2,0,0,0.00K,0.00K
SCRIBNER ARPT,DODGE CO.,NE,05/12/2023,16:46,CST-6,Tornado,EF2,0,0,0.00K,0.00K
OAKLAND,BURT CO.,NE,05/12/2023,17:20,CST-6,Tornado,EF2,0,2,0.00K,0.00K
NATIONAL ARPT,LUCAS CO.,OH,06/15/2023,17:06,EST-5,Tornado,EF2,0,0,176.00K,0.00K
STRONGS RIDGE,OTTAWA CO.,OH,06/15/2023,17:49,EST-5,Tornado,EF2,0,0,255.00K,0.00K
MONROEVILLE,HURON CO.,OH,06/15/2023,18:48,EST-5,Tornado,EF2,0,0,270.00K,0.00K
GERING,SCOTTS BLUFF CO.,NE,06/23/2023,18:38,MST-7,Tornado,EF2,0,0,135.00K,0.00K
WAUBUN,MAHNOMEN CO.,MN,06/24/2023,15:15,CST-6,Tornado,EF2,0,0,56.00K,0.00K
BLUFF CREEK,JOHNSON CO.,IN,06/25/2023,15:12,EST-5,Tornado,EF2,0,0,1.200M,0.00K
HINDOSTAN FALLS,MARTIN CO.,IN,06/25/2023,15:34,EST-5,Tornado,EF2,1,1,1.150M,0.00K
CURRAN,SANGAMON CO.,IL,06/29/2023,11:12,CST-6,Tornado,EF2,0,0,0.00K,0.00K
HARD SCRATCH,HARRISON CO.,IA,07/12/2023,5:05,CST-6,Tornado,EF2,0,0,0.00K,0.00K
PORTER,SCOTT CO.,MO,07/24/2023,13:10,CST-6,Tornado,EF2,0,2,400.00K,0.00K
BARING,KNOX CO.,MO,08/04/2023,22:13,CST-6,Tornado,EF2,0,2,0.00K,0.00K
SICILY,CHRISTIAN CO.,IL,08/06/2023,17:13,CST-6,Tornado,EF2,0,0,0.00K,0.00K
MERIDAN,INGHAM CO.,MI,08/24/2023,20:29,EST-5,Tornado,EF2,2,4,75.000M,0.00K
BEDFORD HGTS,CUYAHOGA CO.,OH,08/24/2023,23:07,EST-5,Tornado,EF2,0,0,300.00K,0.00K
BURTON STATION,GEAUGA CO.,OH,08/24/2023,23:22,EST-5,Tornado,EF2,0,0,65.00K,0.00K
GRAND BLANC,GENESEE CO.,MI,02/28/2024,1:12,EST-5,Tornado,EF2,0,0,1.000M,0.00K
PITCHIN,CLARK CO.,OH,02/28/2024,4:52,EST-5,Tornado,EF2,0,3,1.000M,0.00K
SUMMERFORD,MADISON CO.,OH,02/28/2024,5:06,EST-5,Tornado,EF2,0,0,1.000M,0.00K
BLACKLICK,FRANKLIN CO.,OH,02/28/2024,5:49,EST-5,Tornado,EF2,0,0,300.00K,0.00K
JERSEY,LICKING CO.,OH,02/28/2024,5:53,EST-5,Tornado,EF2,0,0,200.00K,0.00K
MILTONSBURG,MONROE CO.,OH,02/28/2024,7:22,EST-5,Tornado,EF2,0,0,500.00K,0.00K
BROOKSBURG,JEFFERSON CO.,IN,03/14/2024,13:15,EST-5,Tornado,EF2,0,0,0.00K,0.00K
