Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
ALICE,CASS CO.,ND,06/20/2025,22:22,CST-6,Tornado,EF2,0,0,0.00K,0.00K
TEMVIK,EMMONS CO.,ND,06/27/2025,21:18,CST-6,Tornado,EF2,0,0,200.00K,0.00K
KADOKA,JACKSON CO.,SD,06/28/2025,17:45,MST-7,Tornado,EF2,0,2,0.00K,0.00K
CLEAR LAKE MUNI ARPT,DEUEL CO.,SD,06/28/2025,17:53,CST-6,Tornado,EF2,0,0,0.00K,0.00K
CLEAR LAKE,DEUEL CO.,SD,06/28/2025,19:10,CST-6,Tornado,EF3,0,2,0.00K,0.00K
CENTER PT,LINN CO.,IA,07/11/2025,14:46,CST-6,Tornado,EF2,0,0,0.00K,0.00K
LA MOTTE,JACKSON CO.,IA,07/11/2025,15:54,CST-6,Tornado,EF2,0,0,0.00K,0.00K
BUFFALO,SCOTT CO.,IA,07/11/2025,16:03,CST-6,Tornado,EF2,0,0,0.00K,0.00K
HENRY,CODINGTON CO.,SD,07/27/2025,16:55,CST-6,Tornado,EF2,0,0,0.00K,0.00K
BONESTEEL,GREGORY CO.,SD,07/28/2025,16:38,CST-6,Tornado,EF2,0,0,0.00K,0.00K
LINTON,EMMONS CO.,ND,09/14/2025,13:08,CST-6,Tornado,EF2,0,0,400.00K,50.00K
DENHOFF,SHERIDAN CO.,ND,09/14/2025,15:31,CST-6,Tornado,EF2,0,0,700.00K,50.00K
